anime_id,Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
31758,Kizumonogatari III: Reiketsu-hen,8.82,"Action, Mystery, Supernatural, Vampire",Movie,1,6-Jan-17,Unknown,"Aniplex, Kodansha",Unknown,Shaft,Light novel,1 hr. 23 min.,R - 17+ (violence & profanity),23,448,312062,4898,6984,220801,2042,967
31759,Hakubutsushi,5.05,Dementia,Movie,1,1985,Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Unknown,2 min.,G - All Ages,10558,11957,537,0,8,440,4,22
31760,Tsuru Shitae Waka Kan,4.95,Unknown,Movie,1,2011,Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Unknown,1 min.,G - All Ages,10619,12171,487,0,15,373,1,23
31761,Sayokyoku,4.63,"Comedy, Dementia",Movie,1,1985,Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Original,4 min.,G - All Ages,10890,11955,539,0,10,423,3,25
31762,King of Prism by Pretty Rhythm,6.19,"Music, Sports, Shoujo",Movie,1,9-Jan-16,Unknown,Avex Pictures,Unknown,Tatsunoko Production,Original,59 min.,PG - Children,7410,5766,6703,26,251,2606,92,144
31763,Accel World: Infinite∞Burst,6.66,"Action, Game, Sci-Fi, Romance, School",Movie,1,23-Jul-16,Unknown,Unknown,VIZ Media,Sunrise,Light novel,1 hr. 22 min.,PG-13 - Teens 13 or older,5060,2031,58865,88,1375,34873,693,573
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,7.73,"Action, Adventure, Fantasy, Military",TV,13,"Jul 9, 2016 to Oct 1, 2016",Summer 2016,"Magic Capsule, Warner Bros. Japan, KlockWorx, ASCII Media Works, BS Fuji, Imagine","Funimation, Crunchyroll",Madhouse,Light novel,23 min. per ep.,R - 17+ (violence & profanity),949,589,245963,1225,15300,161838,5172,6952
31765,Sword Art Online Movie: Ordinal Scale,7.65,"Action, Game, Adventure, Romance, Fantasy",Movie,1,18-Feb-17,Unknown,"Aniplex, Genco, ASCII Media Works, Bandai Namco Entertainment",Aniplex of America,A-1 Pictures,Original,1 hr. 59 min.,R+ - Mild Nudity,1164,229,508865,4922,9092,411906,2185,1966
31769,Kojiki: Hyuuga-hen,5.89,Historical,Movie,1,2013,Unknown,NHK,Unknown,Unknown,Unknown,12 min.,G - All Ages,8562,13029,347,0,9,220,5,22
31771,Amanchu!,7.27,"Slice of Life, Comedy, School, Shounen",TV,12,"Jul 8, 2016 to Sep 23, 2016",Summer 2016,"Production I.G, Frontier Works, Shochiku, AT-X, flying DOG, Tokyo MX, Mag Garden",Unknown,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2483,1659,80435,271,6274,32889,4324,6354
31772,One Punch Man Specials,7.73,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",Special,6,"Dec 24, 2015 to May 27, 2016",Unknown,Unknown,VIZ Media,Madhouse,Web manga,12 min. per ep.,R - 17+ (violence & profanity),949,647,224515,337,12614,179728,5012,2124
31777,Neko nanka Yondemo Konai.,6.03,"Slice of Life, Seinen",TV,12,"Oct 3, 2015 to Dec 19, 2015",Fall 2015,Unknown,Unknown,Unknown,Manga,1 min. per ep.,G - All Ages,8074,9831,1335,2,60,529,19,78
31780,Kimi no Kokoro wa Kagayaiteru kai?,7.25,Music,Music,1,7-Oct-15,Unknown,"Lantis, Magic Capsule",Unknown,Sunrise,Music,6 min.,PG-13 - Teens 13 or older,2581,5283,8320,18,159,6349,70,98
31783,Yowamushi Pedal: New Generation,7.69,"Comedy, Sports, Drama, Shounen",TV,25,"Jan 10, 2017 to Jun 27, 2017",Winter 2017,"TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Akita Shoten",Unknown,TMS Entertainment,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1067,2007,59843,119,5856,36138,2546,1728
31785,Hakuouki Shinkai: Kaze no Shou,6.4,"Action, Drama, Historical, Romance, Samurai, Supernatural",OVA,1,25-Sep-15,Unknown,Unknown,Unknown,Idea Factory,Game,11 min.,PG-13 - Teens 13 or older,6409,7771,3067,5,118,1110,67,66
